"Sport","Game_Type","Entry_Key","Entry","Contest_Key","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"LOL","Classic",1880096694,"LOL $1K Trident Slash [3 Entry Max] (LCS) (1/2)",85957289,"2020-02-15 17:00:00",100,179.53,"$0.00","$0.00",396,"$3.00","$1,000.00",93
"LOL","Classic",1880772824,"LOL $1K Trident Slash [3 Entry Max] (LCS) (2/2)",85957289,"2020-02-15 17:00:00",233,117.56,"$0.00","$0.00",396,"$3.00","$1,000.00",93
"NBA","Classic",1879340950,"NBA $50K And-One [20 Entry Max] (12/20)",85957124,"2020-02-13 20:00:00",824,357.75,"$6.03","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1879340954,"NBA $50K And-One [20 Entry Max] (16/20)",85957124,"2020-02-13 20:00:00",1178,355,"$5.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1879340943,"NBA $50K And-One [20 Entry Max] (5/20)",85957124,"2020-02-13 20:00:00",2670,343.75,"$3.05","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1879340955,"NBA $50K And-One [20 Entry Max] (17/20)",85957124,"2020-02-13 20:00:00",7052,329.5,"$2.50","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1879340941,"NBA $50K And-One [20 Entry Max] (3/20)",85957124,"2020-02-13 20:00:00",8020,327.5,"$2.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1879340944,"NBA $50K And-One [20 Entry Max] (6/20)",85957124,"2020-02-13 20:00:00",8708,326.25,"$2.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1879340942,"NBA $50K And-One [20 Entry Max] (4/20)",85957124,"2020-02-13 20:00:00",10095,323,"$2.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1879340952,"NBA $50K And-One [20 Entry Max] (14/20)",85957124,"2020-02-13 20:00:00",15564,313.25,"$0.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1879340956,"NBA $50K And-One [20 Entry Max] (18/20)",85957124,"2020-02-13 20:00:00",16352,312,"$0.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1879340948,"NBA $50K And-One [20 Entry Max] (10/20)",85957124,"2020-02-13 20:00:00",21007,305,"$0.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1879340946,"NBA $50K And-One [20 Entry Max] (8/20)",85957124,"2020-02-13 20:00:00",24833,299.25,"$0.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1879340945,"NBA $50K And-One [20 Entry Max] (7/20)",85957124,"2020-02-13 20:00:00",25868,298,"$0.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1879340951,"NBA $50K And-One [20 Entry Max] (13/20)",85957124,"2020-02-13 20:00:00",28224,295.25,"$0.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1879340939,"NBA $50K And-One [20 Entry Max] (1/20)",85957124,"2020-02-13 20:00:00",28998,294.25,"$0.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1879340940,"NBA $50K And-One [20 Entry Max] (2/20)",85957124,"2020-02-13 20:00:00",30341,292.75,"$0.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1879340949,"NBA $50K And-One [20 Entry Max] (11/20)",85957124,"2020-02-13 20:00:00",30710,292.5,"$0.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1879340953,"NBA $50K And-One [20 Entry Max] (15/20)",85957124,"2020-02-13 20:00:00",34561,287,"$0.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1879340947,"NBA $50K And-One [20 Entry Max] (9/20)",85957124,"2020-02-13 20:00:00",34790,286.75,"$0.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1879340957,"NBA $50K And-One [20 Entry Max] (19/20)",85957124,"2020-02-13 20:00:00",35757,285.5,"$0.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1879340958,"NBA $50K And-One [20 Entry Max] (20/20)",85957124,"2020-02-13 20:00:00",56725,237,"$0.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1878164258,"NBA $15K Hot Shot [3 Entry Max] (2/3)",85909503,"2020-02-12 19:00:00",136,335.75,"$12.00","$0.00",5945,"$3.00","$15,000.00",1365
"NBA","Classic",1878164257,"NBA $15K Hot Shot [3 Entry Max] (1/3)",85909503,"2020-02-12 19:00:00",339,327.25,"$8.00","$0.00",5945,"$3.00","$15,000.00",1365
"NBA","Classic",1878164259,"NBA $15K Hot Shot [3 Entry Max] (3/3)",85909503,"2020-02-12 19:00:00",1106,308,"$6.00","$0.00",5945,"$3.00","$15,000.00",1365
"NBA","Classic",1878164186,"NBA $50K And-One [20 Entry Max] (10/20)",85916629,"2020-02-12 19:00:00",651,340.25,"$7.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1878164185,"NBA $50K And-One [20 Entry Max] (9/20)",85916629,"2020-02-12 19:00:00",805,338.75,"$7.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1878164178,"NBA $50K And-One [20 Entry Max] (2/20)",85916629,"2020-02-12 19:00:00",1061,335.75,"$6.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1878164180,"NBA $50K And-One [20 Entry Max] (4/20)",85916629,"2020-02-12 19:00:00",1650,331.25,"$4.69","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1878164196,"NBA $50K And-One [20 Entry Max] (20/20)",85916629,"2020-02-12 19:00:00",2374,327.75,"$4.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1878164177,"NBA $50K And-One [20 Entry Max] (1/20)",85916629,"2020-02-12 19:00:00",2453,327.25,"$4.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1878164189,"NBA $50K And-One [20 Entry Max] (13/20)",85916629,"2020-02-12 19:00:00",4546,318,"$2.50","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1878164194,"NBA $50K And-One [20 Entry Max] (18/20)",85916629,"2020-02-12 19:00:00",6904,311.5,"$2.50","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1878164179,"NBA $50K And-One [20 Entry Max] (3/20)",85916629,"2020-02-12 19:00:00",7002,311.25,"$2.50","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1878164183,"NBA $50K And-One [20 Entry Max] (7/20)",85916629,"2020-02-12 19:00:00",7002,311.25,"$2.50","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1878164184,"NBA $50K And-One [20 Entry Max] (8/20)",85916629,"2020-02-12 19:00:00",8331,308,"$2.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1878164181,"NBA $50K And-One [20 Entry Max] (5/20)",85916629,"2020-02-12 19:00:00",9163,306.5,"$2.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1878164191,"NBA $50K And-One [20 Entry Max] (15/20)",85916629,"2020-02-12 19:00:00",10591,304,"$2.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1878164193,"NBA $50K And-One [20 Entry Max] (17/20)",85916629,"2020-02-12 19:00:00",10743,303.75,"$2.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1878164187,"NBA $50K And-One [20 Entry Max] (11/20)",85916629,"2020-02-12 19:00:00",10988,303.25,"$2.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1878164182,"NBA $50K And-One [20 Entry Max] (6/20)",85916629,"2020-02-12 19:00:00",12244,300.75,"$2.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1878164192,"NBA $50K And-One [20 Entry Max] (16/20)",85916629,"2020-02-12 19:00:00",14536,297,"$2.00","$0.00",59453,"$1.00","$50,000.00",15015
"NBA","Classic",1878164188,"NBA $50K And-One [20 Entry Max] (12/20)",85916629,"2020-02-12 19:00:00",19567,288.5,"$0.00","$0.00",59453,"$1.00","$50,000.00",15015
